Constants:

Input Units:		16
Output Units:		26
Hidden Units:		10
Weight Range:		small

**************************************************************

Learning Rate:	5e-06



Training:

Epochs: 0.08085691581891197	|	Error: 500

Epochs: 0.07947386135611408	|	Error: 1000

Epochs: 0.07699989046266302	|	Error: 1500

Epochs: 0.07473207578488343	|	Error: 2000

Epochs: 0.07275990149591366	|	Error: 2500

Epochs: 0.07089695621174721	|	Error: 3000

Epochs: 0.06957060330200303	|	Error: 3500

Epochs: 0.06866608027961801	|	Error: 4000

Epochs: 0.06781497693558897	|	Error: 4500

Epochs: 0.06693340811042207	|	Error: 5000

Epochs: 0.06609889509278265	|	Error: 5500

Epochs: 0.06542253355692161	|	Error: 6000

Epochs: 0.0648998995170739	|	Error: 6500

Epochs: 0.06450074754594079	|	Error: 7000

Epochs: 0.06418974281228361	|	Error: 7500

Epochs: 0.06393828162250237	|	Error: 8000

Epochs: 0.06372837403030156	|	Error: 8500

Epochs: 0.06354773657303947	|	Error: 9000

Epochs: 0.063387457823761	|	Error: 9500

Epochs: 0.0632415929210845	|	Error: 10000



Testing output

Target: U 	|	 Prediction: U

Target: F 	|	 Prediction: P

Target: H 	|	 Prediction: U

Target: B 	|	 Prediction: G

Target: E 	|	 Prediction: G

Target: H 	|	 Prediction: G

Target: U 	|	 Prediction: U

Target: W 	|	 Prediction: W

Target: S 	|	 Prediction: Z

Target: O 	|	 Prediction: U

Target: V 	|	 Prediction: U

Target: A 	|	 Prediction: A

Target: C 	|	 Prediction: U

Target: B 	|	 Prediction: Z

Target: A 	|	 Prediction: A

Target: H 	|	 Prediction: U

Target: H 	|	 Prediction: U

Target: R 	|	 Prediction: G

Target: X 	|	 Prediction: Z

Target: O 	|	 Prediction: G

Target: R 	|	 Prediction: G

Target: O 	|	 Prediction: U

Target: W 	|	 Prediction: W

Target: J 	|	 Prediction: J

Target: V 	|	 Prediction: T

Target: K 	|	 Prediction: G

Target: S 	|	 Prediction: G

Target: C 	|	 Prediction: G

Target: Q 	|	 Prediction: G

Target: X 	|	 Prediction: G

Target: A 	|	 Prediction: A

Target: F 	|	 Prediction: P

Target: T 	|	 Prediction: T

Target: O 	|	 Prediction: G

Target: G 	|	 Prediction: G

Target: K 	|	 Prediction: U

Target: Y 	|	 Prediction: T

Target: H 	|	 Prediction: M

Target: Z 	|	 Prediction: Z

Target: C 	|	 Prediction: G

Target: P 	|	 Prediction: P

Target: C 	|	 Prediction: G

Target: Z 	|	 Prediction: Z

Target: H 	|	 Prediction: U

Target: H 	|	 Prediction: U

Target: O 	|	 Prediction: U

Target: R 	|	 Prediction: G

Target: A 	|	 Prediction: A

Target: Y 	|	 Prediction: G

Target: N 	|	 Prediction: M

Target: Q 	|	 Prediction: G

Target: F 	|	 Prediction: P

Target: I 	|	 Prediction: J

Target: I 	|	 Prediction: J

Target: R 	|	 Prediction: U

Target: J 	|	 Prediction: J

Target: T 	|	 Prediction: T

Target: D 	|	 Prediction: U

Target: Q 	|	 Prediction: G

Target: P 	|	 Prediction: P

Target: P 	|	 Prediction: P

Target: V 	|	 Prediction: U

Target: W 	|	 Prediction: W

Target: J 	|	 Prediction: J

Target: P 	|	 Prediction: P

Target: K 	|	 Prediction: G

Target: M 	|	 Prediction: U

Target: K 	|	 Prediction: M

Target: N 	|	 Prediction: M

Target: P 	|	 Prediction: G

Target: O 	|	 Prediction: G

Target: F 	|	 Prediction: P

Target: R 	|	 Prediction: G

Target: D 	|	 Prediction: Z

Target: D 	|	 Prediction: U

Target: M 	|	 Prediction: M

Target: Z 	|	 Prediction: Z

Target: R 	|	 Prediction: G

Target: M 	|	 Prediction: M

Target: T 	|	 Prediction: G

Target: A 	|	 Prediction: A

Target: W 	|	 Prediction: W

Target: W 	|	 Prediction: W

Target: K 	|	 Prediction: G

Target: E 	|	 Prediction: G

Target: F 	|	 Prediction: P

Target: G 	|	 Prediction: G

Target: Q 	|	 Prediction: G

Target: V 	|	 Prediction: U

Target: Y 	|	 Prediction: U

