Constants:

Input Units:		16
Output Units:		26
Hidden Units:		40
Weight Range:		small

**************************************************************

Learning Rate:	5e-06



Training:

Epochs: 0.09291997768920125	|	Error: 500

Epochs: 0.09016228983733075	|	Error: 1000

Epochs: 0.09379408177003899	|	Error: 1500

Epochs: 0.08591472533157414	|	Error: 2000

Epochs: 0.08191662180925903	|	Error: 2500

Epochs: 0.0795789792299799	|	Error: 3000

Epochs: 0.07852959024342114	|	Error: 3500

Epochs: 0.08760778186607597	|	Error: 4000

Epochs: 0.08028887854124969	|	Error: 4500

Epochs: 0.07724719753002916	|	Error: 5000

Epochs: 0.0761611146541433	|	Error: 5500

Epochs: 0.07956887195323109	|	Error: 6000

Epochs: 0.07783888670919353	|	Error: 6500

Epochs: 0.07630957968006803	|	Error: 7000

Epochs: 0.07369557924162708	|	Error: 7500

Epochs: 0.07613622805399739	|	Error: 8000

Epochs: 0.07208268501749122	|	Error: 8500

Epochs: 0.07369176705515425	|	Error: 9000

Epochs: 0.07367312205436012	|	Error: 9500

Epochs: 0.07363454411960739	|	Error: 10000



Testing output

Target: U 	|	 Prediction: U

Target: F 	|	 Prediction: F

Target: H 	|	 Prediction: H

Target: B 	|	 Prediction: B

Target: E 	|	 Prediction: K

Target: H 	|	 Prediction: S

Target: U 	|	 Prediction: U

Target: W 	|	 Prediction: W

Target: S 	|	 Prediction: S

Target: O 	|	 Prediction: O

Target: V 	|	 Prediction: V

Target: A 	|	 Prediction: A

Target: C 	|	 Prediction: U

Target: B 	|	 Prediction: B

Target: A 	|	 Prediction: A

Target: H 	|	 Prediction: H

Target: H 	|	 Prediction: H

Target: R 	|	 Prediction: R

Target: X 	|	 Prediction: X

Target: O 	|	 Prediction: O

Target: R 	|	 Prediction: H

Target: O 	|	 Prediction: O

Target: W 	|	 Prediction: W

Target: J 	|	 Prediction: J

Target: V 	|	 Prediction: V

Target: K 	|	 Prediction: K

Target: S 	|	 Prediction: S

Target: C 	|	 Prediction: O

Target: Q 	|	 Prediction: Q

Target: X 	|	 Prediction: X

Target: A 	|	 Prediction: A

Target: F 	|	 Prediction: F

Target: T 	|	 Prediction: T

Target: O 	|	 Prediction: O

Target: G 	|	 Prediction: G

Target: K 	|	 Prediction: X

Target: Y 	|	 Prediction: Y

Target: H 	|	 Prediction: N

Target: Z 	|	 Prediction: Z

Target: C 	|	 Prediction: C

Target: P 	|	 Prediction: P

Target: C 	|	 Prediction: C

Target: Z 	|	 Prediction: Z

Target: H 	|	 Prediction: H

Target: H 	|	 Prediction: H

Target: O 	|	 Prediction: O

Target: R 	|	 Prediction: R

Target: A 	|	 Prediction: A

Target: Y 	|	 Prediction: H

Target: N 	|	 Prediction: N

Target: Q 	|	 Prediction: Q

Target: F 	|	 Prediction: F

Target: I 	|	 Prediction: O

Target: I 	|	 Prediction: I

Target: R 	|	 Prediction: H

Target: J 	|	 Prediction: J

Target: T 	|	 Prediction: T

Target: D 	|	 Prediction: D

Target: Q 	|	 Prediction: Q

Target: P 	|	 Prediction: P

Target: P 	|	 Prediction: P

Target: V 	|	 Prediction: V

Target: W 	|	 Prediction: W

Target: J 	|	 Prediction: J

Target: P 	|	 Prediction: B

Target: K 	|	 Prediction: R

Target: M 	|	 Prediction: U

Target: K 	|	 Prediction: R

Target: N 	|	 Prediction: N

Target: P 	|	 Prediction: B

Target: O 	|	 Prediction: O

Target: F 	|	 Prediction: F

Target: R 	|	 Prediction: R

Target: D 	|	 Prediction: D

Target: D 	|	 Prediction: D

Target: M 	|	 Prediction: M

Target: Z 	|	 Prediction: Z

Target: R 	|	 Prediction: R

Target: M 	|	 Prediction: M

Target: T 	|	 Prediction: F

Target: A 	|	 Prediction: A

Target: W 	|	 Prediction: W

Target: W 	|	 Prediction: W

Target: K 	|	 Prediction: K

Target: E 	|	 Prediction: X

Target: F 	|	 Prediction: F

Target: G 	|	 Prediction: Q

Target: Q 	|	 Prediction: Q

Target: V 	|	 Prediction: V

Target: Y 	|	 Prediction: Y

Target: G 	|	 Prediction: H

Target: Y 	|	 Prediction: Y

Target: O 	|	 Prediction: D

Target: I 	|	 Prediction: I

Target: X 	|	 Prediction: X

Target: U 	|	 Prediction: U

Target: G 	|	 Prediction: U

Target: N 	|	 Prediction: N

Target: Q 	|	 Prediction: Q

Target: Y 	|	 Prediction: Y

Target: Z 	|	 Prediction: X

Target: H 	|	 Prediction: H

Target: Q 	|	 Prediction: Q

Target: O 	|	 Prediction: H

Target: S 	|	 Prediction: S

Target: O 	|	 Prediction: O

Target: I 	|	 Prediction: Z

Target: G 	|	 Prediction: H

Target: G 	|	 Prediction: U

Target: P 	|	 Prediction: P

Target: W 	|	 Prediction: W

Target: Q 	|	 Prediction: B

Target: F 	|	 Prediction: F

Target: X 	|	 Prediction: X

Target: B 	|	 Prediction: H

Target: F 	|	 Prediction: F

Target: X 	|	 Prediction: X

Target: X 	|	 Prediction: X

Target: I 	|	 Prediction: I

Target: E 	|	 Prediction: B

Target: I 	|	 Prediction: I

Target: J 	|	 Prediction: N

Target: P 	|	 Prediction: P

Target: P 	|	 Prediction: Y

Target: D 	|	 Prediction: H

Target: X 	|	 Prediction: Z

Target: V 	|	 Prediction: V

Target: F 	|	 Prediction: F

Target: V 	|	 Prediction: V

Target: W 	|	 Prediction: W

Target: P 	|	 Prediction: Y

Target: Q 	|	 Prediction: Q

Target: E 	|	 Prediction: E

Target: I 	|	 Prediction: F

Target: A 	|	 Prediction: A

Target: O 	|	 Prediction: O

Target: N 	|	 Prediction: N

Target: M 	|	 Prediction: M

Target: L 	|	 Prediction: L

Target: R 	|	 Prediction: K

Target: B 	|	 Prediction: B

Target: S 	|	 Prediction: S

Target: J 	|	 Prediction: J

Target: K 	|	 Prediction: K

Target: O 	|	 Prediction: O

Target: I 	|	 Prediction: I

Target: Y 	|	 Prediction: Y

Target: B 	|	 Prediction: B

Target: R 	|	 Prediction: R

Target: J 	|	 Prediction: J

Target: Z 	|	 Prediction: Z

Target: N 	|	 Prediction: N

Target: B 	|	 Prediction: B

Target: S 	|	 Prediction: S

Target: U 	|	 Prediction: U

Target: J 	|	 Prediction: J

Target: Q 	|	 Prediction: H

Target: T 	|	 Prediction: Y

Target: Z 	|	 Prediction: Z

Target: F 	|	 Prediction: W

Target: J 	|	 Prediction: J

Target: L 	|	 Prediction: L

Target: V 	|	 Prediction: V

Target: I 	|	 Prediction: O

Target: U 	|	 Prediction: U

Target: K 	|	 Prediction: K

Target: E 	|	 Prediction: B

Target: F 	|	 Prediction: F

Target: N 	|	 Prediction: N

Target: A 	|	 Prediction: S

Target: N 	|	 Prediction: N

Target: B 	|	 Prediction: F

Target: J 	|	 Prediction: J

Target: P 	|	 Prediction: P

Target: Z 	|	 Prediction: Z

Target: W 	|	 Prediction: W

Target: F 	|	 Prediction: F

Target: X 	|	 Prediction: X

Target: R 	|	 Prediction: R

Target: H 	|	 Prediction: H

Target: L 	|	 Prediction: L

Target: R 	|	 Prediction: R

Target: O 	|	 Prediction: O

Target: K 	|	 Prediction: K

Target: S 	|	 Prediction: S

Target: C 	|	 Prediction: C

Target: Y 	|	 Prediction: H

Target: Z 	|	 Prediction: Z

Target: F 	|	 Prediction: F

Target: C 	|	 Prediction: E

Target: H 	|	 Prediction: H

Target: T 	|	 Prediction: T

Target: R 	|	 Prediction: R

Target: S 	|	 Prediction: Z

Target: D 	|	 Prediction: D

Target: E 	|	 Prediction: U

Target: A 	|	 Prediction: A

Target: E 	|	 Prediction: E

Target: Y 	|	 Prediction: Y

Target: P 	|	 Prediction: F

Target: J 	|	 Prediction: J

Target: W 	|	 Prediction: W

Target: M 	|	 Prediction: M

Target: H 	|	 Prediction: R

Target: I 	|	 Prediction: I

Target: V 	|	 Prediction: V

Target: W 	|	 Prediction: W

Target: A 	|	 Prediction: A

Target: I 	|	 Prediction: I

Target: J 	|	 Prediction: J

Target: B 	|	 Prediction: R

Target: F 	|	 Prediction: P

Target: P 	|	 Prediction: P

Target: E 	|	 Prediction: E

Target: W 	|	 Prediction: W

Target: C 	|	 Prediction: C

Target: H 	|	 Prediction: R

Target: Y 	|	 Prediction: Y

Target: R 	|	 Prediction: H

Target: F 	|	 Prediction: W

Target: N 	|	 Prediction: N

Target: K 	|	 Prediction: K

Target: S 	|	 Prediction: F

Target: Z 	|	 Prediction: Z

Target: M 	|	 Prediction: M

Target: F 	|	 Prediction: F

Target: C 	|	 Prediction: C

Target: C 	|	 Prediction: G

Target: O 	|	 Prediction: O

Target: N 	|	 Prediction: N

Target: C 	|	 Prediction: C

Target: E 	|	 Prediction: E

Target: B 	|	 Prediction: H

Target: B 	|	 Prediction: B

Target: G 	|	 Prediction: H

Target: N 	|	 Prediction: N

Target: S 	|	 Prediction: S

Target: D 	|	 Prediction: D

Target: G 	|	 Prediction: G

Target: V 	|	 Prediction: V

Target: Q 	|	 Prediction: Q

Target: W 	|	 Prediction: W

Target: T 	|	 Prediction: T

Target: K 	|	 Prediction: K

Target: J 	|	 Prediction: S

Target: A 	|	 Prediction: A

Target: N 	|	 Prediction: N

Target: R 	|	 Prediction: B

Target: C 	|	 Prediction: H

Target: H 	|	 Prediction: H

Target: E 	|	 Prediction: E

Target: I 	|	 Prediction: I

Target: D 	|	 Prediction: B

Target: G 	|	 Prediction: G

Target: Z 	|	 Prediction: Z

Target: J 	|	 Prediction: J

Target: K 	|	 Prediction: K

Target: D 	|	 Prediction: D

Target: P 	|	 Prediction: P

Target: B 	|	 Prediction: B

Target: E 	|	 Prediction: E

Target: N 	|	 Prediction: N

Target: Q 	|	 Prediction: Q

Target: D 	|	 Prediction: D

Target: B 	|	 Prediction: S

Target: H 	|	 Prediction: D

Target: S 	|	 Prediction: B

Target: S 	|	 Prediction: S

Target: C 	|	 Prediction: K

Target: D 	|	 Prediction: D

Target: R 	|	 Prediction: R

Target: K 	|	 Prediction: K

Target: R 	|	 Prediction: R

Target: S 	|	 Prediction: F

Target: Z 	|	 Prediction: Z

Target: S 	|	 Prediction: S

Target: N 	|	 Prediction: N

Target: X 	|	 Prediction: X

Target: B 	|	 Prediction: B

Target: B 	|	 Prediction: B

Target: V 	|	 Prediction: V

Target: O 	|	 Prediction: O

Target: P 	|	 Prediction: P

Target: G 	|	 Prediction: G

Target: C 	|	 Prediction: H

Target: A 	|	 Prediction: A

Target: T 	|	 Prediction: T

Target: U 	|	 Prediction: U

Target: E 	|	 Prediction: E

Target: U 	|	 Prediction: U

Target: Y 	|	 Prediction: S

Target: O 	|	 Prediction: O

Target: Z 	|	 Prediction: Z

Target: X 	|	 Prediction: X

Target: N 	|	 Prediction: N

Target: S 	|	 Prediction: S

Target: K 	|	 Prediction: R

Target: C 	|	 Prediction: C

Target: O 	|	 Prediction: D

Target: S 	|	 Prediction: Q

Target: I 	|	 Prediction: I

Target: A 	|	 Prediction: A

Target: M 	|	 Prediction: M

Target: J 	|	 Prediction: J

Target: V 	|	 Prediction: V

Target: Y 	|	 Prediction: Y

Target: U 	|	 Prediction: K

Target: N 	|	 Prediction: N

Target: E 	|	 Prediction: K

Target: T 	|	 Prediction: T

Target: G 	|	 Prediction: O

Target: Z 	|	 Prediction: Z

Target: E 	|	 Prediction: X

Target: V 	|	 Prediction: V

Target: E 	|	 Prediction: E

Target: D 	|	 Prediction: S

Target: N 	|	 Prediction: N

Target: X 	|	 Prediction: S

Target: H 	|	 Prediction: H

Target: E 	|	 Prediction: E

Target: D 	|	 Prediction: D

Target: L 	|	 Prediction: L

Target: U 	|	 Prediction: N

Target: O 	|	 Prediction: O

Target: X 	|	 Prediction: X

Target: F 	|	 Prediction: F

Target: R 	|	 Prediction: R

Target: D 	|	 Prediction: D

Target: M 	|	 Prediction: M

Target: K 	|	 Prediction: K

Target: V 	|	 Prediction: V

Target: K 	|	 Prediction: K

Target: G 	|	 Prediction: G

Target: J 	|	 Prediction: S

Target: W 	|	 Prediction: W

Target: T 	|	 Prediction: T

Target: A 	|	 Prediction: A

Target: R 	|	 Prediction: R

Target: D 	|	 Prediction: D

Target: B 	|	 Prediction: B

Target: D 	|	 Prediction: D

Target: S 	|	 Prediction: F

Target: S 	|	 Prediction: S

Target: J 	|	 Prediction: S

Target: Y 	|	 Prediction: Q

Target: G 	|	 Prediction: O

Target: U 	|	 Prediction: U

Target: N 	|	 Prediction: N

Target: B 	|	 Prediction: B

Target: K 	|	 Prediction: K

Target: B 	|	 Prediction: B

Target: M 	|	 Prediction: M

Target: K 	|	 Prediction: R

Target: G 	|	 Prediction: G

Target: U 	|	 Prediction: U

Target: E 	|	 Prediction: E

Target: F 	|	 Prediction: F

Target: W 	|	 Prediction: W

Target: A 	|	 Prediction: A

Target: P 	|	 Prediction: P

Target: B 	|	 Prediction: B

Target: S 	|	 Prediction: S

Target: T 	|	 Prediction: T

Target: O 	|	 Prediction: O

Target: I 	|	 Prediction: I

Target: T 	|	 Prediction: K

Target: R 	|	 Prediction: R

Target: R 	|	 Prediction: R

Target: L 	|	 Prediction: L

Target: M 	|	 Prediction: M

Target: K 	|	 Prediction: U

Target: E 	|	 Prediction: E

Target: B 	|	 Prediction: B

Target: M 	|	 Prediction: M

Target: C 	|	 Prediction: H

Target: E 	|	 Prediction: F

Target: J 	|	 Prediction: J

Target: I 	|	 Prediction: S

Target: G 	|	 Prediction: G

Target: A 	|	 Prediction: A

Target: W 	|	 Prediction: W

Target: X 	|	 Prediction: X

Target: G 	|	 Prediction: G

Target: Q 	|	 Prediction: Q

Target: T 	|	 Prediction: T

Target: U 	|	 Prediction: U

Target: M 	|	 Prediction: M

Target: T 	|	 Prediction: T

Target: S 	|	 Prediction: S

Target: A 	|	 Prediction: A

Target: G 	|	 Prediction: G

Target: V 	|	 Prediction: B

Target: U 	|	 Prediction: U

Target: T 	|	 Prediction: T

Target: C 	|	 Prediction: C

Target: Q 	|	 Prediction: O

Target: V 	|	 Prediction: H

Target: G 	|	 Prediction: G

Target: K 	|	 Prediction: K

Target: D 	|	 Prediction: D



Accuracy:	0.758




**************************************************************


Learning Rate:	1e-06



Training:

Epochs: 0.08269225658978821	|	Error: 500

Epochs: 0.0829742148354818	|	Error: 1000

Epochs: 0.0824545993445511	|	Error: 1500

Epochs: 0.08210463598705087	|	Error: 2000

Epochs: 0.08158834180403654	|	Error: 2500
