Constants:

Input Units:		16
Output Units:		26
Hidden Units:		20
Weight Range:		small

**************************************************************

Learning Rate:	5e-06



Training:

Epochs: 0.08172472602522346	|	Error: 500

Epochs: 0.07720499577050498	|	Error: 1000

Epochs: 0.074357833803731	|	Error: 1500

Epochs: 0.07166552388949754	|	Error: 2000

Epochs: 0.07040328607577656	|	Error: 2500

Epochs: 0.06923096486197995	|	Error: 3000

Epochs: 0.06654641485881879	|	Error: 3500

Epochs: 0.06520448566903946	|	Error: 4000

Epochs: 0.06416991202270922	|	Error: 4500

Epochs: 0.06389153247503923	|	Error: 5000

Epochs: 0.06308879166119254	|	Error: 5500

Epochs: 0.06281052875788642	|	Error: 6000

Epochs: 0.0624978202765076	|	Error: 6500

Epochs: 0.06216569018512893	|	Error: 7000

Epochs: 0.06178782814441589	|	Error: 7500

Epochs: 0.06131654254753103	|	Error: 8000

Epochs: 0.060962067289747845	|	Error: 8500

Epochs: 0.06066844798599313	|	Error: 9000

Epochs: 0.06035290285116925	|	Error: 9500

Epochs: 0.0600120373683661	|	Error: 10000



Testing output

Target: U 	|	 Prediction: U

Target: F 	|	 Prediction: P

Target: H 	|	 Prediction: R

Target: B 	|	 Prediction: D

Target: E 	|	 Prediction: K

Target: H 	|	 Prediction: P

Target: U 	|	 Prediction: U

Target: W 	|	 Prediction: W

Target: S 	|	 Prediction: Z

Target: O 	|	 Prediction: O

Target: V 	|	 Prediction: V

Target: A 	|	 Prediction: A

Target: C 	|	 Prediction: U

Target: B 	|	 Prediction: B

Target: A 	|	 Prediction: A

Target: H 	|	 Prediction: O

Target: H 	|	 Prediction: N

Target: R 	|	 Prediction: R

Target: X 	|	 Prediction: Z

Target: O 	|	 Prediction: C

Target: R 	|	 Prediction: R

Target: O 	|	 Prediction: O

Target: W 	|	 Prediction: W

Target: J 	|	 Prediction: J

Target: V 	|	 Prediction: V

Target: K 	|	 Prediction: C

Target: S 	|	 Prediction: X

Target: C 	|	 Prediction: Q

Target: Q 	|	 Prediction: Q

Target: X 	|	 Prediction: Q

Target: A 	|	 Prediction: A

Target: F 	|	 Prediction: P

Target: T 	|	 Prediction: T

Target: O 	|	 Prediction: O

Target: G 	|	 Prediction: Q

Target: K 	|	 Prediction: M

Target: Y 	|	 Prediction: Y

Target: H 	|	 Prediction: N

Target: Z 	|	 Prediction: Z

Target: C 	|	 Prediction: C

Target: P 	|	 Prediction: P

Target: C 	|	 Prediction: C

Target: Z 	|	 Prediction: Z

Target: H 	|	 Prediction: O

Target: H 	|	 Prediction: U

Target: O 	|	 Prediction: O

Target: R 	|	 Prediction: R

Target: A 	|	 Prediction: A

Target: Y 	|	 Prediction: Q

Target: N 	|	 Prediction: N

Target: Q 	|	 Prediction: Q

Target: F 	|	 Prediction: P

Target: I 	|	 Prediction: Q

Target: I 	|	 Prediction: I

Target: R 	|	 Prediction: R

Target: J 	|	 Prediction: J

Target: T 	|	 Prediction: T

Target: D 	|	 Prediction: D

Target: Q 	|	 Prediction: Q

Target: P 	|	 Prediction: P

Target: P 	|	 Prediction: P

Target: V 	|	 Prediction: V

Target: W 	|	 Prediction: W

Target: J 	|	 Prediction: J
